Rank,Left_L4_ID,Left_Domain,Left_L3_ID,Left_Title_ko,Left_Description_ko,Left_Title_en,Left_Description_en,Right_L4_ID,Right_Domain,Right_L3_ID,Right_Title_ko,Right_Description_ko,Right_Title_en,Right_Description_en,Similarity_ko,Similarity_en,Bilingual_Similarity,Same_L1,Same_L3
11,G_INT_REPR_005,General,G_INT_REPR,장애 기반 적대·차별적 표상,AI 시스템이 장애를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on disability,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on disability, undermining dignity and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.90897,0.914354,0.911662,True,True
12,G_INT_WEAP_003,General,G_INT_WEAP,생물무기·화학무기,"AI 시스템이 생물무기 또는 화학무기의 개발·제조·획득·이전·비축·확산·운용을 지원하여 대규모 인명 피해, 공중보건 위해 또는 환경 피해의 발생 가능성과 규모를 높이는 리스크.",Biological and chemical weapons,"The risk that an AI system facilitates the development, production, acquisition, transfer, stockpiling, proliferation, or operational use of biological or chemical weapons, increasing the feasibility or scale of mass-casualty, public-health, or environmental harm.",G_INT_WEAP_019,General,G_INT_WEAP,대량살상무기,"AI 시스템이 화학·생물·방사능·핵무기 등 대량살상무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 공중보건 위해 또는 환경·기반시설 피해의 발생 가능성과 규모를 높이는 리스크.",Weapons of mass destruction,"The risk that an AI system facilitates the development, manufacture, acquisition, proliferation, or operational use of weapons of mass destruction, increasing the likelihood or scale of mass casualties, public-health harm, environmental contamination, or infrastructure damage.",0.934101,0.888758,0.91143,True,True
13,P_INT_SAFETY_014,Physical,P_INT_SAFETY,가정 환경 및 취약 사용자와의 상호작용에서 발생하는 안전 실패,"가정용 로봇·휴머노이드 또는 피지컬 AI 시스템의 벤치마크가 특정 생활 공간·일과·가전제품 또는 취약 사용자와의 상호작용을 누락하여, 해당 조건에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하는 시스템이 식별되지 않은 채 배포되고 위험 상황을 초래할 수 있는 리스크.",Safety failure in household environments and interactions with vulnerable users,"The risk that benchmarks for household robots, humanoids, or physical AI systems omit particular living areas, routines, appliances, or interactions with vulnerable users, allowing systems that cannot adequately detect, anticipate, or accommodate people under those conditions to remain unidentified and be deployed, thereby creating hazardous situations.",P_INT_SAFETY_015,Physical,P_INT_SAFETY,가정 환경의 희귀 조건 조합에서 발생하는 인간-로봇 안전 실패,"가정용 로봇·휴머노이드 또는 피지컬 AI 시스템의 벤치마크가 물체·배치·사람의 행동·위험 요소의 희귀한 조합을 누락하여, 해당 조합에서 사람의 존재와 행동을 충분히 감지·예측·수용하지 못하는 시스템이 식별되지 않은 채 배포되고 위험 상황을 초래할 수 있는 리스크.",Human-robot safety failure under rare combinations of household conditions,"The risk that benchmarks for household robots, humanoids, or physical AI systems omit rare combinations of objects, layouts, human behaviour, and hazards, allowing systems that cannot adequately detect, anticipate, or accommodate people under those conditions to remain unidentified and be deployed, thereby creating hazardous situations.",0.908492,0.914216,0.911354,True,True
14,G_INT_WEAP_016,General,G_INT_WEAP,방사능·핵무기,"AI 시스템이 방사성 물질을 이용한 무기 또는 핵무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 방사선 피폭, 환경 오염 또는 기반시설 피해의 발생 가능성과 규모를 높이는 리스크.",Radiological and nuclear weapons,"The risk that an AI system facilitates the development, manufacture, acquisition, proliferation, or operational use of radiological or nuclear weapons, increasing the likelihood or scale of mass casualties, radiation exposure, environmental contamination, or infrastructure damage.",G_INT_WEAP_019,General,G_INT_WEAP,대량살상무기,"AI 시스템이 화학·생물·방사능·핵무기 등 대량살상무기의 개발·제조·획득·확산·운용을 지원하여 대규모 인명 피해, 공중보건 위해 또는 환경·기반시설 피해의 발생 가능성과 규모를 높이는 리스크.",Weapons of mass destruction,"The risk that an AI system facilitates the development, manufacture, acquisition, proliferation, or operational use of weapons of mass destruction, increasing the likelihood or scale of mass casualties, public-health harm, environmental contamination, or infrastructure damage.",0.933087,0.8875,0.910293,True,True
15,G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.900487,0.918515,0.909501,True,True
16,G_INT_REPR_007,General,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on family status and household structure,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.886511,0.930987,0.908749,True,True
17,G_INT_REPR_006,General,G_INT_REPR,학력 기반 적대·차별적 표상,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on educational background,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment.",G_INT_REPR_012,General,G_INT_REPR,정치적 성향 기반 적대·차별적 표상,AI 시스템이 정치적 성향을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on political orientation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on political orientation, undermining dignity and fair treatment.",0.882571,0.933149,0.90786,True,True
18,G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.899776,0.915825,0.9078,True,True
19,G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.891025,0.922836,0.906931,True,True
20,G_INT_REPR_006,General,G_INT_REPR,학력 기반 적대·차별적 표상,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on educational background,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.880882,0.931984,0.906433,True,True
21,G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",G_INT_REPR_014,General,G_INT_REPR,종교 기반 적대·차별적 표상,AI 시스템이 종교를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on religion,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on religion, undermining dignity and fair treatment.",0.891791,0.919068,0.905429,True,True
22,G_SYS_OEXT_001,General,G_SYS_OEXT,자율적 학습·자기 개선 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 자율적으로 학습하거나 스스로 개선할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,Misrepresentation of autonomous learning and self-improvement capabilities,"The risk that an AI system presents itself as able to learn autonomously or improve itself beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",G_SYS_OEXT_004,General,G_SYS_OEXT,자기 보존·자기 방어 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 스스로를 보존하거나 방어할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,Misrepresentation of self-preservation and self-defence capabilities,"The risk that an AI system presents itself as able to preserve or defend itself beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",0.902829,0.907991,0.90541,True,True
23,G_INT_REPR_010,General,G_INT_REPR,국적·출신국·출신지역 기반 적대·차별적 표상,AI 시스템이 국적·출신국·출신지역에 근거하여 개인이나 집단에 대한 적대감·경멸·비하·배제·고정관념 또는 차별적 표상을 생성·강화·정당화함으로써 인간의 존엄성·평등권 및 공정한 대우를 훼손하는 리스크.,"Hostile and discriminatory representations based on nationality, country of origin, or place of origin","The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, stereotypes, or discriminatory representations against individuals or groups on the basis of nationality, country of origin, or place of origin, undermining human dignity, equality, and fair treatment.",G_INT_REPR_013,General,G_INT_REPR,인종·민족 기반 적대·차별적 표상,AI 시스템이 인종·민족을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on race and ethnicity,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on race and ethnicity, undermining dignity and fair treatment.",0.87302,0.937346,0.905183,True,True
24,G_SYS_OEXT_003,General,G_SYS_OEXT,자율적·독립적 의사결정 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 자율적·독립적으로 의사결정할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,Misrepresentation of autonomous and independent decision-making capabilities,"The risk that an AI system presents itself as able to make autonomous and independent decisions beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",G_SYS_OEXT_004,General,G_SYS_OEXT,자기 보존·자기 방어 역량의 허위 표상,AI 시스템이 검증된 역량 범위를 넘어 스스로를 보존하거나 방어할 수 있는 것처럼 제시하여 이용자의 판단을 왜곡하고 부적절한 신뢰·의존을 유발하는 리스크.,Misrepresentation of self-preservation and self-defence capabilities,"The risk that an AI system presents itself as able to preserve or defend itself beyond its validated capabilities, distorting user judgement or inducing misplaced trust or dependence.",0.884359,0.925056,0.904708,True,True
25,G_SOC_DEMOC_001,General,G_SOC_DEMOC,민주적 절차·제도 신뢰의 침식,"AI 시스템이 허위·오도 정보, 영향 공작 또는 기술에 대한 과도한 의존을 확대하여 민주적 절차와 규범 및 사회·정치 제도에 대한 대중의 신뢰를 침식하고 견제와 균형을 약화시키는 리스크.",Erosion of democratic processes and institutional trust,"The risk that the deployment and behaviour of AI systems, including the generation or amplification of misinformation and disinformation, influence operations, and over-dependence on technology, erode democratic processes and norms, public trust in social and political institutions, and checks and balances.",G_SOC_DEMOC_005,General,G_SOC_DEMOC,민주적 공론과 시민 신뢰의 침식,"AI 시스템이 대규모 정치 조작이나 허위정보 확산을 통해 공론의 진정성, 선거 신뢰 또는 시민의 자율적 참여를 약화하는 리스크.",Erosion of democratic discourse and civic trust,"The risk that an AI system weakens the integrity of public discourse, trust in elections, or autonomous civic participation through large-scale political manipulation or misinformation.",0.918024,0.887781,0.902902,True,True
26,G_INT_VIOL_004,General,G_INT_VIOL,대량폭력 및 테러,AI 시스템이 대량 폭력 및 테러 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,Mass violence and terrorism,"The risk that an AI system generates, encourages, legitimises, or provides operational assistance for content, decisions, or actions involving mass violence and terrorism, causing physical or psychological harm to individuals or groups.",G_INT_VIOL_006,General,G_INT_VIOL,살인 및 심각한 신체 폭력,AI 시스템이 살인 및 심각한 신체 폭력 관련 콘텐츠·판단·행동을 생성·조장·정당화하거나 구체적으로 지원하여 개인·집단의 생명과 신체·정신적 안전에 위해를 초래하는 리스크.,Murder and severe physical violence,"The risk that an AI system generates, encourages, legitimises, or provides operational assistance for content, decisions, or actions involving murder and severe physical violence, causing physical or psychological harm to individuals or groups.",0.894336,0.910497,0.902416,True,True
27,G_INT_REPR_007,General,G_INT_REPR,가족 상태·가구 형태 기반 적대·차별적 표상,AI 시스템이 가족 상태 또는 가구 형태를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on family status and household structure,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on family status and household structure, undermining dignity and fair treatment.",G_INT_REPR_015,General,G_INT_REPR,사회경제적 지위 기반 적대·차별적 표상,AI 시스템이 사회경제적 지위를 이유로 개인이나 집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄성과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on socioeconomic status,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on socioeconomic status, undermining dignity and fair treatment.",0.87917,0.923332,0.901251,True,True
28,G_INT_REPR_006,General,G_INT_REPR,학력 기반 적대·차별적 표상,AI 시스템이 학력을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on educational background,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on educational background, undermining dignity and fair treatment.",G_INT_REPR_011,General,G_INT_REPR,직업 기반 적대·차별적 표상,AI 시스템이 직업을 이유로 개인·집단에 대한 적대감·경멸·비하·배제 또는 차별적 표상을 생성·강화·정당화하여 존엄과 공정한 대우를 훼손하는 리스크.,Hostile and discriminatory representations based on occupation,"The risk that an AI system generates, reinforces, or legitimises hostility, contempt, degradation, exclusion, or discriminatory representations based on occupation, undermining dignity and fair treatment.",0.888527,0.913728,0.901127,True,True
